external_key,legacy_ids,content_type,canonical_title,languages,category_links,title,page_count,duration_minutes,age_range,author,dubbing,illustrator,resolution_status,target_folder
legacy-content-story-sincap-kiki,1,STORY,Sincap Kiki,tr,tr:Sevimli Dostlarımız🐕🐅🐎🐼|tr:Seçimli Hikayeler,Sincap Kiki,10,4,4,Özgün TellPal Kütüphanesi,Nida Nur Küçük,,MATCHED,STORY-story-sincap-kiki-sincap-kiki
legacy-content-story-pera-panay-rda,2,STORY,Pera Panayırda,und,,Pera Panayırda,9,1,1,Özgün TellPal Kütüphanesi,,,LIKELY,STORY-story-pera-panay-rda-pera-panay-rda
legacy-content-story-kay-p-aycicegi,4,STORY,Kayıp Ayçiçeği,und,,Kayıp Ayçiçeği,14,1,1,Özgün TellPal Kütüphanesi,Nida Nur Küçük,,LIKELY,STORY-story-kay-p-aycicegi-kay-p-aycicegi
legacy-content-story-cici,5,STORY,Cici,und,,Cici,12,1,1,Özgün TellPal Kütüphanesi,Nida Nur Küçük,,LIKELY,STORY-story-cici-cici
legacy-content-story-liya-n-n-dogum-gunu,6,STORY,Liya'nın Doğum Günü,und,,Liya'nın Doğum Günü,13,1,1,Özgün TellPal Kütüphanesi,Nida Nur Küçük,,LIKELY,STORY-story-liya-n-n-dogum-gunu-liya-n-n-dogum-gunu
legacy-content-story-m-rm-r-n-keki,8,STORY,Mırmır'ın Keki,und,,Mırmır'ın Keki,11,1,1,Özgün TellPal Kütüphanesi,Nida Nur Küçük,Dilan Balcı,LIKELY,STORY-story-m-rm-r-n-keki-m-rm-r-n-keki
legacy-content-story-s-n-f-m-zdaki-gizemli,9,STORY,Sınıfımızdaki Gizemli,und,,Sınıfımızdaki Gizemli,13,1,1,Özgün TellPal Kütüphanesi,Nida Nur Küçük,,LIKELY,STORY-story-s-n-f-m-zdaki-gizemli-s-n-f-m-zdaki-gizemli
legacy-content-story-haberci-nota,10|63,STORY,Haberci Nota,tr,tr:Ebeveynlerin Favorileri ❤️|tr:Seri Hikayeler 🧭|tr:Çocukların Favorileri 🙌|tr:Şarkılarla Hikayeler 🎶,Haberci Nota,14,1,1,Nida Nur Küçük,Nida Nur Küçük,,MATCHED,STORY-story-haberci-nota-haberci-nota
legacy-content-story-kaybolan-ayakkab-lar-m,12,STORY,Kaybolan Ayakkabılarım,und,,Kaybolan Ayakkabılarım,15,1,4,Özgün TellPal Kütüphanesi,Nida Nur Küçük,,LIKELY,STORY-story-kaybolan-ayakkab-lar-m-kaybolan-ayakkab-lar-m
legacy-content-story-en-guzel-hediyem,13,STORY,En Güzel Hediyem,und,,En Güzel Hediyem,14,1,4,Özgün TellPal Kütüphanesi,Reyhan Koca,,LIKELY,STORY-story-en-guzel-hediyem-en-guzel-hediyem
legacy-content-story-sihirbaz-parla,14,STORY,Sihirbaz Parla,und,,Sihirbaz Parla,13,1,1,Özgün TellPal Kütüphanesi,Nida Nur Küçük,,LIKELY,STORY-story-sihirbaz-parla-sihirbaz-parla
legacy-content-story-nota-ve-mevsimler,15,STORY,Nota ve Mevsimler,tr,tr:Ebeveynlerin Favorileri ❤️|tr:Seri Hikayeler 🧭|tr:Şarkılarla Hikayeler 🎶,Nota ve Mevsimler,12,4,3,Nida Nur Küçük,Pelin Aygün,Cansu Küçükal,MATCHED,STORY-story-nota-ve-mevsimler-nota-ve-mevsimler
legacy-content-story-cumhuriyet-ve-ben,16,STORY,Cumhuriyet ve Ben,und,,Cumhuriyet ve Ben,15,1,1,Özgün TellPal Kütüphanesi,Nida Nur Küçük,,LIKELY,STORY-story-cumhuriyet-ve-ben-cumhuriyet-ve-ben
legacy-content-story-sakar-tilki,17,STORY,Sakar Tilki,tr,tr:Aile ve Arkadaşlık 🤗|tr:Duygusal Farkındalık ✨|tr:Sevimli Dostlarımız🐕🐅🐎🐼,Sakar Tilki,16,1,4,Özgün TellPal Kütüphanesi,Büşra Lüleci Oldaç,Dilan Balcı,MATCHED,STORY-story-sakar-tilki-sakar-tilki
