language,name,normalized_name,type
en,Our Nature and Life 💚🏕️🌿🌲☘️,our nature and life,STORY
tr,Ninni ve Dinlendirici Müzikler 😴,ninni ve dinlendirici muzikler,LULLABY
tr,Özel Gün ve Haftalar 💎,ozel gun ve haftalar,STORY
tr,Sihirli Kelimeler🧙✨🎩,sihirli kelimeler,STORY
pt,Senso de Competição🥇🏆,senso de competicao,STORY
pt,Histórias Informativas🔮,historias informativas,STORY
tr,Uyku Öncesi Hikayeleri 😴🌙🛏️,uyku oncesi hikayeleri,STORY
en,Lullaby and Relaxing Music 😴,lullaby and relaxing music,LULLABY
en,Meditation 🧘🍃,meditation,MEDITATION
tr,Öğretici Hikayeler 🔮,ogretici hikayeler,STORY
en,Audio Books 🎧,audio books,AUDIO_STORY
en,Mothers' Favorites ❤️,mothers favorites,STORY
tr,Seçimli Hikayeler,secimli hikayeler,STORY
en,Editors' Pick 🙌,editors pick,STORY
en,Informative Stories 🔮,informative stories,STORY
en,Problem Solving Skills 🎯,problem solving skills,STORY
en,Serial Stories 🎬,serial stories,STORY
tr,Yaza Merhaba🌞🏄,yaza merhaba,STORY
en,Empathy and Tolerance 💞,empathy and tolerance,STORY
tr,Çocukların Favorileri 🙌,cocukların favorileri,STORY
tr,Hayal Gücü ve Yaratıcılık 💫,hayal gucu ve yaratıcılık,STORY
pt,Escolha dos Editores 🙌,escolha dos editores,STORY
tr,Sevimli Dostlarımız🐕🐅🐎🐼,sevimli dostlarımız,STORY
tr,Doğa ve Keşif💚🏕️🌿🌲🌳☘️,doga ve kesif,STORY
tr,Empati ve Hoşgörü 💞,empati ve hosgoru,STORY
en,Imagination and Creativity 💫,imagination and creativity,STORY
en,Activities and Fun 🥳,activities and fun,STORY
tr,Aile ve Arkadaşlık 🤗,aile ve arkadaslık,STORY
en,Family and Friendship 🤗,family and friendship,STORY
tr,Rekabeti Öğrenme 🥇🏆,rekabeti ogrenme,STORY
tr,Öz Güven ve Cesaret 💪,oz guven ve cesaret,STORY
tr,Şarkılarla Hikayeler 🎶,sarkılarla hikayeler,STORY
tr,Meditasyon  🧘🍃,meditasyon,MEDITATION
tr,Animasyonlu Hikayeler,animasyonlu hikayeler,STORY
tr,Etkinlik ve Eğlence 🥳,etkinlik ve eglence,STORY
tr,Sesli Kitaplar 🎧,sesli kitaplar,AUDIO_STORY
en,Sense of Competition 🥇🏆,sense of competition,STORY
en,Sleeping Stories 😴🌙🛏️,sleeping stories,STORY
en,Adventure Stories 🧭,adventure stories,STORY
pt,Empatia e Tolerância 💞,empatia e tolerancia,STORY
pt,Canções de Ninar 😴,cancoes de ninar,LULLABY
pt,Solidariedade 🤝,solidariedade,STORY
pt,Meditação 🧘🍃,meditacao,MEDITATION
pt,Resolvendo Problemas 🎯,resolvendo problemas,STORY
en,Sharing and Cooperation 🤝,sharing and cooperation,STORY
en,Science  🌱:•.🧪,science,STORY
pt,Audiolivros 🎧,audiolivros,AUDIO_STORY
pt,Ciência e Tecnologia 🌱:•.🧪,ciencia e tecnologia,STORY
tr,Ebeveynlerin Favorileri ❤️,ebeveynlerin favorileri,STORY
tr,Toprak Solucanı Serisi 🐛,toprak solucanı serisi,STORY
tr,Bilim 🌱:•.🧪,bilim,STORY
tr,Problem Çözme Becerisi 🎯,problem cozme becerisi,STORY
tr,Sizin İçin Önerdiklerimiz,sizin icin onerdiklerimiz,STORY
tr,Duygusal Farkındalık ✨,duygusal farkındalık,STORY
tr,Paylaşma ve İş Birliği 🤝,paylasma ve is birligi,STORY
en,Emotional Awareness ✨,emotional awareness,STORY
en,Confidence and Courage 💪,confidence and courage,STORY
tr,Seri Hikayeler 🧭,seri hikayeler,STORY
